ACCT,BUDGET,COST TO DATE,COMMITMENTS,TIPO,REF,GEN_ACCT,Etapa,VARIANCE
2802-019,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2802-020,8000.0,9000.0,0.0,Below the Line,Detalle,,2nd Unit,-1000.0
2802-021,16000.0,18000.0,0.0,Below the Line,Detalle,,2nd Unit,-2000.0
2802-022,0.0,0.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2804-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2804-003,36000.0,36000.0,0.0,Below the Line,Detalle,,PREP,0.0
2804-004,84000.0,84000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2804-005,0.0,0.0,0.0,Below the Line,Detalle,,WRAP,0.0
2805-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2805-003,9300.0,9300.0,0.0,Below the Line,Detalle,,PREP,0.0
2805-004,65100.0,65100.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2805-005,0.0,0.0,0.0,Below the Line,Detalle,,WRAP,0.0
2805-008,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2805-009,8000.0,8000.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2805-010,16000.0,16000.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2805-013,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2805-014,8000.0,8000.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2805-015,16000.0,16000.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2805-018,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2805-019,37500.0,27000.0,0.0,Below the Line,Detalle,,SHOOT,10500.0
2808-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2808-003,120000.0,135637.142,0.0,Below the Line,Detalle,,ALL SHOW,-15637.141999999993
2885-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2885-003,80000.0,12757.96,0.0,Below the Line,Detalle,,ALL SHOW,67242.04000000001
2902-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2902-003,3579.45,0.0,0.0,Below the Line,Detalle,,PREP,3579.45
2902-004,100224.6,100203.6,0.0,Below the Line,Detalle,,SHOOT,21.0
2902-005,7158.9,0.0,0.0,Below the Line,Detalle,,WRAP,7158.9
2902-008,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2902-009,0.0,0.0,0.0,Below the Line,Detalle,,PREP,0.0
2902-010,100224.6,100203.6,0.0,Below the Line,Detalle,,SHOOT,21.0
2902-011,7158.9,7157.4,0.0,Below the Line,Detalle,,WRAP,1.5
2902-014,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2902-015,0.0,0.0,0.0,Below the Line,Detalle,,PREP,0.0
2902-016,100224.6,100198.2,0.0,Below the Line,Detalle,,SHOOT,26.40000000000873
2902-017,7158.9,7157.4,0.0,Below the Line,Detalle,,WRAP,1.5
2902-020,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2902-021,7158.9,0.0,0.0,Below the Line,Detalle,,2nd Unit,7158.9
2902-022,28635.6,2385.8,0.0,Below the Line,Detalle,,2nd Unit,26249.8
2902-023,7158.9,0.0,0.0,Below the Line,Detalle,,2nd Unit,7158.9
2902-026,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2902-027,7158.9,0.0,0.0,Below the Line,Detalle,,2nd Unit,7158.9
2902-028,28635.6,28634.0,0.0,Below the Line,Detalle,,2nd Unit,1.5999999999985448
2902-029,7158.9,0.0,0.0,Below the Line,Detalle,,2nd Unit,7158.9
2911-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2911-003,60000.0,9543.2,0.0,Below the Line,Detalle,,SHOOT,50456.8
2985-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2985-003,78750.0,7700.0,0.0,Below the Line,Detalle,,ALL SHOW,71050.0
2998-001,0.0,0.0,0.0,Below the Line,Detalle,,Fringes,0.0
2998-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2998-003,80000.0,0.0,0.0,Below the Line,Detalle,,ALL SHOW,80000.0
3001-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
3001-003,17622.15,17622.15,0.0,Below the Line,Detalle,,PREP,0.0
3001-004,123355.05,123354.13,0.0,Below the Line,Detalle,,SHOOT,0.9199999999982538
3001-005,17622.15,0.0,0.0,Below the Line,Detalle,,WRAP,17622.15
3001-008,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
3001-009,8811.08,0.0,0.0,Below the Line,Detalle,,2nd Unit,8811.08
3001-010,35244.3,38551.65,0.0,Below the Line,Detalle,,2nd Unit,-3307.3499999999985
3001-011,8811.08,0.0,0.0,Below the Line,Detalle,,2nd Unit,8811.08
3002-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
3002-003,3579.45,7157.4,0.0,Below the Line,Detalle,,PREP,-3577.95
3002-004,100224.6,100205.04,0.0,Below the Line,Detalle,,SHOOT,19.560000000012224
3002-005,7158.9,0.0,0.0,Below the Line,Detalle,,WRAP,7158.9
3002-008,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
3002-009,3579.45,0.0,0.0,Below the Line,Detalle,,PREP,3579.45
3002-010,100224.6,78737.4,0.0,Below the Line,Detalle,,SHOOT,21487.20000000001
3002-011,7158.9,0.0,0.0,Below the Line,Detalle,,WRAP,7158.9
3002-014,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
3002-015,3579.45,7157.4,0.0,Below the Line,Detalle,,PREP,-3577.95
3002-016,100224.6,104975.2,0.0,Below the Line,Detalle,,SHOOT,-4750.599999999991
3002-017,7158.9,0.0,0.0,Below the Line,Detalle,,WRAP,7158.9
